1	51.0;4.0|86.0;5.0|302.0;3.597609561752988|346.0;3.597609561752988|377.0;3.597609561752988|451.0;3.597609561752988|465.0;3.597609561752988
10	51.0;4.192771084337349|86.0;4.192771084337349|302.0;4.0|346.0;4.192771084337349|377.0;4.192771084337349|451.0;4.192771084337349|465.0;4.192771084337349
100	51.0;3.018867924528302|86.0;3.018867924528302|302.0;4.0|346.0;3.018867924528302|377.0;3.018867924528302|451.0;3.018867924528302|465.0;3.018867924528302
101	51.0;2.903225806451613|86.0;2.903225806451613|302.0;2.903225806451613|346.0;2.903225806451613|377.0;2.903225806451613|451.0;2.903225806451613|465.0;2.903225806451613
102	51.0;2.599009900990099|86.0;2.599009900990099|302.0;3.0|346.0;2.599009900990099|377.0;2.599009900990099|451.0;2.599009900990099|465.0;2.599009900990099
103	51.0;3.5925925925925926|86.0;3.5925925925925926|302.0;3.5925925925925926|346.0;3.5925925925925926|377.0;3.5925925925925926|451.0;3.5925925925925926|465.0;3.5925925925925926
104	51.0;2.6923076923076925|86.0;2.6923076923076925|302.0;5.0|346.0;3.0|377.0;2.6923076923076925|451.0;2.6923076923076925|465.0;2.6923076923076925
105	51.0;3.5|86.0;3.5|302.0;5.0|346.0;3.5|377.0;3.5|451.0;3.5|465.0;3.5
106	51.0;3.7758620689655173|86.0;3.0|302.0;3.7758620689655173|346.0;3.7758620689655173|377.0;3.7758620689655173|451.0;3.7758620689655173|465.0;3.7758620689655173
107	51.0;3.0|86.0;3.0|302.0;4.0|346.0;3.0|377.0;3.0|451.0;3.0|465.0;3.0
108	51.0;3.5757575757575757|86.0;3.5757575757575757|302.0;3.5757575757575757|346.0;3.5757575757575757|377.0;3.5757575757575757|451.0;3.5757575757575757|465.0;3.5757575757575757
109	51.0;3.4768518518518516|86.0;3.4768518518518516|302.0;3.4768518518518516|346.0;3.4768518518518516|377.0;3.4768518518518516|451.0;5.0|465.0;3.4768518518518516
11	51.0;4.0|86.0;4.0|302.0;3.4879518072289155|346.0;3.4879518072289155|377.0;3.4879518072289155|451.0;3.4879518072289155|465.0;3.4879518072289155
110	51.0;3.041322314049587|86.0;3.041322314049587|302.0;3.041322314049587|346.0;3.041322314049587|377.0;3.041322314049587|451.0;4.0|465.0;3.041322314049587
111	51.0;3.5217391304347827|86.0;3.5217391304347827|302.0;5.0|346.0;3.5217391304347827|377.0;3.5217391304347827|451.0;3.5217391304347827|465.0;3.5217391304347827
112	51.0;3.642857142857143|86.0;3.642857142857143|302.0;4.0|346.0;5.0|377.0;3.642857142857143|451.0;3.642857142857143|465.0;3.642857142857143
113	51.0;3.6956521739130435|86.0;3.6956521739130435|302.0;3.6956521739130435|346.0;3.6956521739130435|377.0;3.6956521739130435|451.0;3.6956521739130435|465.0;3.6956521739130435
114	51.0;3.5609756097560976|86.0;3.5609756097560976|302.0;3.5609756097560976|346.0;3.5609756097560976|377.0;3.5609756097560976|451.0;3.5609756097560976|465.0;3.5609756097560976
115	51.0;3.8875|86.0;3.8875|302.0;3.8875|346.0;3.8875|377.0;3.8875|451.0;3.8875|465.0;3.8875
116	51.0;3.015267175572519|86.0;3.015267175572519|302.0;3.0|346.0;4.0|377.0;3.015267175572519|451.0;3.015267175572519|465.0;3.015267175572519
117	51.0;3.9367088607594938|86.0;3.9367088607594938|302.0;3.9367088607594938|346.0;3.9367088607594938|377.0;3.9367088607594938|451.0;3.9367088607594938|465.0;3.9367088607594938
118	51.0;4.681818181818182|86.0;4.681818181818182|302.0;4.681818181818182|346.0;4.681818181818182|377.0;4.681818181818182|451.0;4.681818181818182|465.0;4.681818181818182
