186;302	3;891717742
22;377	1;878887116
244;51	2;880606923
166;346	1;886397596
305;451	3;886324817
6;86	3;883603013
62;257	2;879372434
286;1014	5;879781125
303;785	3;879485318
291;1042	4;874834944
167;486	4;892738452
299;144	4;877881320
291;118	2;874833878
308;1	4;887736532
95;546	2;879196566
38;95	5;892430094
50;246	3;877052329
301;98	4;882075827
290;88	4;880731963
157;274	4;886890835
276;796	1;874791932
284;304	4;885329322
276;564	3;874791805
99;4	5;886519097
178;332	3;882823437
251;100	4;886271884
81;432	2;876535131
87;384	4;879877127
290;143	5;880474293
42;423	5;881107687
167;232	1;892738341
57;304	5;883698581
243;15	3;879987440
92;1049	1;890251826
241;690	2;887249482
178;248	4;882823954
299;229	3;878192429
276;54	3;874791025
291;144	5;874835091
42;403	3;881108684
11;111	4;891903862
95;625	4;888954412
8;338	4;879361873
162;25	4;877635573
87;1016	4;879876194
279;154	5;875296291
145;275	2;885557505
62;498	4;879373848
62;382	3;879375537
28;209	4;881961214
135;23	4;879857765
32;294	3;883709863
286;208	4;877531942
216;144	4;880234639
166;328	5;886397722
250;496	4;878090499
271;132	5;885848672
265;118	4;875320714
198;498	3;884207492
42;96	5;881107178
168;151	5;884288058
271;346	4;885844430
62;21	3;879373460
279;832	3;881375854
94;789	4;891720887
128;485	3;879966895
44;195	5;878347874
250;264	3;878089182
41;265	3;890687042
216;658	3;880245029
250;140	3;878092059
286;379	5;877533771
244;815	4;880605185
174;368	1;886434402
87;274	4;879876734
244;756	2;880605157
305;427	5;886323090
95;787	2;888954930
43;14	2;883955745
299;955	4;889502823
57;419	3;883698454
299;111	3;877878184
99;268	3;885678247
85;427	3;879456350
303;919	4;879467295
121;514	3;891387947
42;794	3;881108425
19;4	4;885412840
305;117	2;886324028
44;294	4;883612356
43;137	4;875975656
279;1336	1;875298353
80;466	5;887401701
279;1240	1;892174404
66;298	4;883601324
99;79	4;885680138
276;322	3;874786392
94;1217	3;891723086
38;328	4;892428688
92;1079	3;886443455
1;61	4;878542420
56;755	3;892910207
92;77	3;875654637
251;748	2;886272175
305;471	4;886323648
125;235	2;892838559
83;234	4;887665548
125;478	4;879454628
299;14	4;877877775
6;14	5;883599249
54;106	3;880937882
303;69	5;879467542
301;790	4;882078621
276;1091	3;874793035
305;214	2;886323068
87;554	4;879875940
294;109	4;877819599
286;171	4;877531791
178;568	4;882826555
303;842	2;879484804
62;65	4;879374686
92;172	4;875653271
301;401	4;882078040
36;339	5;882157581
70;746	3;884150257
28;201	3;881961671
279;68	4;875307407
250;7	4;878089716
299;1018	3;889502324
303;815	3;879485532
66;258	4;883601089
83;623	4;880308578
192;476	2;881368243
301;56	4;882076587
307;89	5;879283786
83;576	4;880308755
297;133	4;875240090
38;153	5;892430369
85;507	4;879456199
286;143	4;889651549
113;595	5;875936424
219;82	1;889452455
218;209	5;877488546
158;177	4;880134407
279;501	3;875308843
301;79	5;882076403
1;189	3;888732928
145;237	5;875270570
23;385	4;874786462
42;546	3;881105817
33;872	3;891964230
301;554	3;882078830
95;135	3;879197562
77;484	5;884733766
244;673	3;880606667
145;15	2;875270655
170;749	5;887646170
184;218	3;889909840
128;204	4;879967478
184;153	3;889911285
1;33	4;878542699
1;160	4;875072547
184;321	5;889906967
54;595	3;880937813
94;343	4;891725009
128;508	4;879967767
23;323	2;874784266
301;227	3;882077222
301;191	3;882075672
112;903	1;892440172
218;430	3;877488316
308;1197	4;887739521
303;134	5;879467959
215;212	2;891435680
276;2	4;874792436
240;879	3;885775745
286;237	2;875806800
294;271	5;889241426
92;229	3;875656201
308;649	4;887739292
144;89	3;888105691
191;302	4;891560253
271;199	4;885848448
271;709	3;885849325
142;169	5;888640356
87;40	3;879876917
177;333	4;880130397
299;577	3;889503806
271;378	4;885849447
305;425	4;886324486
94;1224	3;891722802
203;321	3;880433418
191;286	4;891560842
43;323	3;875975110
197;96	5;891409839
308;402	4;887740700
308;640	4;887737036
94;265	4;891721889
121;291	3;891390477
134;286	3;891732334
38;758	1;892434626
178;731	4;882827532
236;71	3;890116671
244;186	3;880605697
279;1181	4;875314001
43;815	4;883956189
83;78	2;880309089
109;631	3;880579371
297;716	3;875239422
144;699	4;888106106
301;604	4;882075994
64;392	3;889737542
92;501	2;875653665
125;163	5;879454956
174;315	5;886432749
114;505	3;881260203
23;196	2;874786926
128;15	4;879968827
291;80	4;875086354
250;238	4;878089963
216;228	3;880245642
216;531	4;880233810
203;471	4;880434463
92;587	3;875660408
286;288	5;875806672
99;111	1;885678886
11;558	3;891904214
85;259	2;881705026
250;596	5;878089921
111;328	4;891679939
215;211	4;891436202
1;20	4;887431883
303;404	4;879468375
299;305	3;879737314
303;252	3;879544791
73;480	4;888625753
70;431	3;884150257
221;475	4;875244204
290;50	5;880473582
299;303	3;877618584
184;187	4;889909024
62;712	4;879376178
54;742	5;880934806
11;732	3;891904596
92;168	4;875653723
8;550	3;879362356
307;174	4;879283480
303;200	4;879468459
94;184	2;891720862
128;371	1;879966954
94;720	1;891723593
64;381	4;879365491
45;25	4;881014015
276;922	4;889174849
276;57	3;874787526
197;346	3;891409070
276;142	3;874792945
308;427	4;887736584
221;943	4;875246759
109;8	3;880572642
198;58	3;884208173
192;1061	4;881368891
128;603	5;879966839
126;905	2;887855283
244;265	4;880606634
157;25	3;886890787
305;71	3;886323684
231;181	4;888605273
280;508	3;891700453
279;1497	2;890780576
301;33	4;882078228
308;55	3;887738760
94;744	4;891721462
56;121	5;892679480
62;12	4;879373613
276;40	3;874791871
178;845	4;882824291
308;81	5;887737293
75;284	2;884050393
307;94	3;877122695
121;740	3;891390544
245;1028	5;888513447
56;546	3;892679460
271;1028	2;885848102
22;376	3;878887112
294;931	3;889242857
279;399	4;875313859
6;98	5;883600680
243;1039	4;879988184
282;325	1;881703044
78;323	1;879633567
171;292	4;891034835
70;217	4;884151119
245;181	4;888513664
276;70	4;874790826
244;17	2;880607205
226;242	5;883888671
62;1016	4;879373008
276;417	4;874792907
306;235	4;876504354
280;631	5;891700751
56;71	4;892683275
42;274	5;881105817
1;202	5;875072442
280;540	3;891702304
244;381	4;880604077
178;317	4;882826915
178;742	3;882823833
95;1217	3;880572658
109;127	2;880563471
42;588	5;881108147
87;367	4;879876702
92;794	3;875654798
92;739	2;876175582
188;692	5;875072583
236;632	3;890116254
144;709	4;888105940
48;609	4;879434819
22;128	5;878887983
311;432	4;884365485
8;22	5;879362183
276;188	4;874792547
299;134	4;878192311
1;171	5;889751711
308;295	3;887741461
244;707	4;880606243
208;216	5;883108324
134;323	4;891732335
279;586	4;892864663
2;292	4;888550774
286;153	5;877531406
22;80	4;878887227
94;1220	3;891722678
290;161	4;880474293
92;515	4;875640800
56;449	5;892679308
248;234	4;884534968
280;1049	2;891702486
308;187	5;887738760
276;64	5;874787441
192;948	3;881368302
85;588	3;880838306
93;820	3;888705966
159;1028	5;880557539
158;665	2;880134532
276;181	5;874786488
83;660	4;880308256
146;1022	5;891458193
126;294	3;887855087
125;80	4;892838865
43;120	4;884029430
42;44	3;881108548
77;518	4;884753202
291;686	5;874835165
29;245	3;882820803
236;57	5;890116575
158;729	3;880133116
156;661	4;888185947
168;866	5;884287927
37;288	4;880915258
141;245	3;884584426
77;172	3;884752562
186;566	5;879023663
44;660	5;878347915
62;68	1;879374969
42;1028	4;881106072
178;433	4;882827834
85;51	2;879454782
77;474	5;884732407
56;1047	4;892911290
197;688	1;891409564
286;99	4;878141681
221;1010	3;875246662
66;877	1;883601089
87;82	5;879875774
195;1052	1;877835102
44;449	5;883613334
306;287	4;876504442
94;62	3;891722933
167;659	4;892738277
108;100	4;879879720
54;302	4;880928519
286;357	4;877531537
311;179	2;884365357
92;121	5;875640679
244;550	1;880602264
37;540	2;880916070
44;443	5;878348289
244;183	4;880606043
1;265	4;878542441
299;387	2;889502756
94;572	3;891723883
286;746	4;877533058
216;55	5;880245145
62;665	2;879376483
178;385	4;882826982
188;143	5;875072674
276;294	4;874786366
158;1098	4;880135069
305;654	4;886323937
47;324	3;879439078
64;736	4;889739212
191;751	3;891560753
113;126	5;875076827
95;233	4;879196354
311;654	3;884365075
43;203	4;883955224
125;190	5;892836309
284;322	3;885329671
303;161	5;879468547
6;463	4;883601713
279;122	1;875297433
286;298	4;875807004
297;57	5;875239383
42;625	3;881108873
109;475	1;880563641
244;310	3;880601905
6;301	2;883600406
36;748	4;882157285
111;301	4;891680028
83;215	4;880307940
6;258	2;883268278
128;317	4;879968029
305;512	4;886323525
184;412	2;889912691
286;175	5;877532470
279;1428	3;888465209
221;48	5;875245462
140;332	3;879013617
190;977	2;891042938
11;227	3;891905896
126;245	3;887854726
144;742	4;888104122
109;566	4;880578814
85;1065	3;879455021
215;421	4;891435704
218;208	3;877488366
174;937	5;886432989
195;273	4;878019342
99;1016	5;885678724
2;251	5;888552084
85;228	3;882813248
83;281	5;880307072
92;831	2;886443708
87;401	2;879876813
1;155	2;878542201
196;393	4;881251863
56;91	4;892683275
226;56	4;883889102
279;741	5;875296891
308;1286	3;887738151
203;93	4;880434940
145;56	5;875271896
44;644	3;878347818
313;117	4;891015319
197;347	4;891409070
279;982	3;875298314
297;89	4;875239125
303;68	4;879467361
186;250	1;879023607
73;206	3;888625754
94;216	3;885870665
197;511	5;891409839
280;1	4;891700426
1;117	3;874965739
303;397	1;879543831
198;258	4;884204501
6;69	3;883601277
85;642	4;882995615
184;522	3;889908462
99;873	1;885678436
279;725	4;875314144
85;433	3;879828720
208;663	5;883108476
109;178	3;880572950
313;478	3;891014373
70;1133	3;884151344
62;182	5;879375169
198;234	3;884207833
174;660	5;886514261
311;98	5;884364502
195;751	4;883295500
286;73	5;877532965
56;222	5;892679439
297;73	2;875239691
94;860	2;891723706
135;1046	3;879858003
291;1178	4;875086354
125;382	1;892836623
70;399	4;884068521
311;9	4;884963365
301;523	4;882076146
244;172	4;880605665
198;118	2;884206513
244;790	4;880608037
124;496	1;890286933
271;65	3;885849419
307;634	3;879283385
294;1245	3;877819265
75;240	1;884050661
2;50	5;888552084
313;566	4;891016220
144;125	4;888104191
188;443	4;875074329
276;324	4;874786419
145;974	1;882182634
83;385	4;887665549
109;402	4;880581344
57;79	5;883698495
176;875	4;886047442
284;269	4;885328991
106;526	4;881452685
121;180	3;891388286
62;86	2;879374640
291;418	4;875086920
109;97	3;880578711
297;275	5;874954260
78;255	4;879633745
11;425	4;891904300
308;59	4;887737647
297;234	3;875239018
87;585	4;879877008
250;204	2;878091682
8;50	5;879362124
186;148	4;891719774
291;376	3;875086534
175;127	5;877107640
145;737	2;875272833
276;419	5;874792907
83;210	5;880307751
62;302	3;879371909
313;616	5;891015049
286;44	3;877532173
279;168	5;875296435
276;474	5;889174904
62;59	4;879373821
83;97	4;880308690
297;233	2;875239914
85;25	2;879452769
42;98	4;881106711
303;393	4;879484981
94;792	4;885873006
184;98	4;889908539
248;589	4;884534968
196;381	4;881251728
128;182	4;879967225
286;85	5;877533224
308;516	4;887736743
190;974	2;891625949
308;436	4;887739257
64;1063	3;889739539
145;756	2;885557506
220;298	4;881198966
198;658	3;884208173
220;333	3;881197771
158;128	2;880134296
75;237	2;884050309
297;25	4;874954497
276;78	4;877934828
299;847	4;877877649
301;138	2;882079446
1;47	4;875072125
291;1016	4;874833827
6;517	4;883602212
184;602	4;889909691
277;257	3;879543487
95;68	4;879196231
6;23	4;883601365
38;573	1;892433660
313;436	4;891029877
22;241	3;878888025
66;181	5;883601425
76;61	4;875028123
314;28	5;877888346
44;258	4;878340824
303;418	4;879483510
248;117	5;884535433
125;318	5;879454309
291;15	5;874833668
94;155	2;891723807
145;355	3;888396967
280;845	3;891700925
178;199	4;882826306
307;949	4;877123315
23;258	5;876785704
308;174	4;887736696
188;237	3;875073648
94;24	4;885873423
99;403	4;885680374
83;43	4;880308690
174;402	5;886513729
244;53	3;880607489
250;196	4;878091818
43;40	3;883956468
42;953	2;881108815
304;259	1;884967253
37;403	5;880915942
303;1098	4;879467959
176;324	5;886047292
56;869	3;892683895
44;15	4;878341343
190;117	4;891033697
29;189	4;882821942
94;174	4;885870231
303;779	1;879543418
19;435	5;885412840
158;24	4;880134261
56;447	4;892679067
92;747	4;875656164
188;96	5;875073128
244;154	5;880606385
134;879	4;891732393
145;1248	3;875272195
248;257	3;884535840
297;432	4;875239658
305;483	5;886323068
141;258	5;884584338
44;240	4;878346997
186;263	3;879023571
1;222	4;878873388
56;450	3;892679374
94;651	5;891725332
276;1081	3;880913705
83;929	3;880307140
279;89	4;875306910
112;331	4;884992603
87;210	5;879875734
23;463	4;874785843
299;1047	2;877880041
66;1	3;883601324
216;174	5;881432488
290;208	3;880475245
144;831	3;888104805
64;433	2;889740286
276;357	5;874787526
62;433	5;879375588
208;197	5;883108797
279;1162	3;875314334
162;1019	4;877636556
99;246	3;888469392
303;1160	2;879544629
54;676	5;880935294
44;507	3;878347392
299;240	2;877878414
28;217	3;881961671
305;79	3;886324276
109;1012	4;880564570
92;1209	1;875660468
109;1	4;880563619
303;693	4;879466771
92;241	3;875655961
77;91	3;884752924
244;662	3;880606533
177;321	2;880130481
197;302	3;891409070
227;50	4;879035347
85;282	3;879829618
277;255	4;879544145
279;96	4;875310606
1;253	5;874965970
276;568	4;882659211
87;177	5;879875940
177;69	1;880131088
125;134	5;879454532
128;739	4;879969349
291;428	5;874871766
271;56	3;885848559
70;419	5;884065035
311;559	2;884366187
99;274	1;885679157
11;740	4;891903067
184;277	3;889907971
38;161	5;892432062
121;14	5;891390014
303;411	4;879483802
308;215	3;887737483
75;546	3;884050422
64;516	5;889737376
85;187	5;879454235
216;196	5;880245145
203;282	1;880434919
144;153	5;888105823
94;471	4;891721642
125;657	3;892836422
1;113	5;878542738
76;175	4;875028853
294;508	4;877819532
294;930	3;889242704
121;117	1;891388600
85;13	3;879452866
303;426	3;879542535
6;492	5;883601089
279;746	5;875310233
303;1109	4;879467936
184;191	4;889908716
313;22	3;891014870
314;1150	4;877887002
43;5	4;875981421
215;164	3;891436633
62;288	2;879371909
280;127	5;891702544
11;723	5;891904637
94;218	3;891721851
311;566	4;884366112
48;680	3;879434330
85;604	4;882995132
184;514	5;889908497
11;38	3;891905936
106;582	4;881451199
37;117	4;880915674
276;845	4;874786807
22;258	5;878886261
70;82	4;884068075
308;95	4;887737130
243;208	4;879989134
92;540	2;875813197
81;280	4;876534214
56;184	4;892679088
156;641	5;888185677
290;132	3;880473993
45;109	5;881012356
145;764	2;888398257
277;1011	3;879543697
184;86	5;889908694
271;187	5;885848343
94;211	5;891721142
176;327	3;886047176
95;1	5;879197329
184;660	3;889909962
311;386	3;884365747
105;268	4;889214268
158;510	3;880134296
94;1048	4;891722678
45;118	4;881014550
279;144	4;880850073
145;22	5;875273021
71;89	5;880864462
195;328	4;884420059
109;258	5;880562908
282;288	4;879949367
23;381	4;874787350
112;327	1;884992535
303;145	1;879543573
282;327	5;879949417
304;237	5;884968415
290;568	3;880474716
64;160	4;889739288
28;79	4;881961003
168;1278	3;884287560
265;471	4;875320302
83;82	5;887665423
87;196	5;879877681
70;210	4;884065854
51;182	3;883498790
92;176	5;875652981
204;216	4;892513864
57;682	3;883696824
184;207	4;889908903
92;180	5;875653016
43;204	4;883956122
197;300	4;891409422
92;790	3;875907618
294;282	3;877821796
271;705	4;885849052
73;657	5;888625422
48;309	3;879434132
66;7	3;883601355
6;478	4;883602762
144;182	3;888105743
85;83	4;886282959
158;770	5;880134477
297;588	4;875238579
271;482	5;885848519
178;276	3;882823978
311;143	3;884364812
1;227	4;876892946
170;292	5;884103732
197;55	3;891409982
38;679	5;892432062
195;1014	4;879673925
279;227	4;889326161
316;98	5;880853743
168;274	4;884287865
103;24	4;880415847
299;588	4;877880852
279;1048	1;886015533
87;9	4;879877931
279;1151	2;875744584
44;95	4;878347569
92;216	3;875653867
135;39	3;879857931
318;474	4;884495742
141;826	2;884585437
279;254	3;879572960
42;685	4;881105972
145;1245	5;875271397
184;161	2;889909640
177;243	1;882142141
313;99	4;891014029
32;290	3;883717913
308;848	4;887736925
145;448	5;877343121
195;300	3;890588925
142;82	4;888640356
303;94	3;879485318
99;50	5;885679998
306;14	5;876503995
92;709	2;875654590
227;295	5;879035387
94;820	1;891723186
30;539	3;885941454
6;508	3;883599530
311;716	4;884365718
62;132	5;879375022
94;346	4;891725410
240;313	5;885775604
83;301	2;891181430
291;7	5;874834481
291;70	4;874868146
56;172	5;892737191
109;588	4;880578388
92;115	3;875654125
308;741	4;887739863
301;660	4;882076782
158;241	4;880134445
308;493	3;887737293
32;151	3;883717850
215;423	5;891435526
32;1012	4;883717581
85;298	4;880581629
184;36	3;889910195
188;218	5;875074667
305;11	1;886323237
144;508	4;888104150
73;94	1;888625754
177;203	4;880131026
276;273	4;874786517
198;7	4;884205317
108;290	4;879880076
73;56	4;888626041
120;546	2;889490979
276;773	3;874792794
128;482	4;879967432
22;510	5;878887765
307;687	1;879114143
42;176	3;881107178
145;472	3;875271128
251;148	2;886272547
92;15	3;875640189
81;742	2;876533764
311;419	3;884364931
95;527	4;888954440
19;655	3;885412723
1;17	3;875073198
6;469	5;883601155
109;627	5;880582133
305;50	5;886321799
195;154	3;888737525
277;279	4;879543592
92;81	3;875654929
94;58	5;891720540
244;148	2;880605071
313;200	3;891017736
303;433	4;879467985
221;327	4;875243968
64;176	4;889737567
291;1139	3;874871671
62;111	3;879372670
196;251	3;881251274
303;120	2;879544099
307;1022	4;879283008
303;176	5;879467260
286;154	4;877533381
291;501	4;875087100
276;157	5;874790773
135;1208	3;879858003
57;243	3;883696547
276;1157	2;874795772
250;404	4;878092144
318;768	2;884498022
87;1079	2;879877240
50;823	3;877052784
314;535	4;877887002
250;338	4;883263374
95;172	4;879196847
94;470	4;891722006
277;282	4;879543697
303;1286	4;879467413
271;714	3;885848863
174;80	1;886515210
276;939	3;874790855
99;354	2;888469332
308;163	4;887737084
303;738	2;879544276
44;208	4;878347420
215;197	4;891435357
42;195	5;881107949
92;665	3;875906853
271;750	4;885844698
92;731	4;875653769
311;203	5;884365201
279;79	3;875296461
176;258	4;886047026
303;1037	3;879544340
81;169	4;876534751
62;114	4;879373568
276;364	3;877935377
92;528	4;875657681
196;655	5;881251793
276;226	4;874792520
134;313	5;891732150
311;849	3;884365781
203;148	3;880434755
313;745	3;891016583
311;83	5;884364812
251;1014	5;886272486
227;411	4;879035897
286;1316	5;884583549
